text,label,sentiment,cleaned_text,textblob_sentiment,vader_sentiment,bert_sentiment
Just said hello to Dennis Kucinich as he walked casually through campus with his #hotwife. He's on 22nd st!,1,neutral,just said hello to dennis kucinich as he walked casually through campus with his . he's on 22nd st!,negative,positive,positive
Super excited for homecoming Saturday with Monroe! :D my new nephew is here but I can\u2019t see him :(,2,positive,super excited for homecoming saturday with monroe! :d my new nephew is here but i can\u2019t see him :(,neutral,positive,positive
That sucks if you have to take the SATs tomorrow,0,negative,that sucks if you have to take the sats tomorrow,negative,negative,negative
@user  6 tickets for Sam smith concert  Sept 30 cheap! Flew our family of 6 here fir the concert! BEYOND UPSET!,1,neutral,6 tickets for sam smith concert sept 30 cheap! flew our family of 6 here fir the concert! beyond upset!,positive,negative,negative
"""Fiorentina have reportedly opened talks with Chelsea over taking the 20yr old Kurt Zuoma on loan in January.""",1,neutral,"""fiorentina have reportedly opened talks with chelsea over taking the 20yr old kurt zuoma on loan in january.""",neutral,neutral,positive
Creighton Volleyball leads 8-5 early in 2nd set. Match becomes even bigger with both Wichita St. & Missouri State down 0-1 at home tonight.,2,positive,creighton volleyball leads 8-5 early in 2nd set. match becomes even bigger with both wichita st. & missouri state down 0-1 at home tonight.,neutral,neutral,positive
This time tomorrow...we'll have the Iron on. Iron Maiden pieces Drops tomorrow nights.,2,positive,this time tomorrow...we'll have the iron on. iron maiden pieces drops tomorrow nights.,neutral,neutral,negative
Amy Schumer sat down with The Hollywood Reporter and opened up about the sexist remarks and unnecessary criticism she's faced since,0,negative,amy schumer sat down with the hollywood reporter and opened up about the sexist remarks and unnecessary criticism she's faced since,negative,negative,positive
What is Jamie Foxx doing sitting next to Niall like you could've sat in a better spot just saying lol,1,neutral,what is jamie foxx doing sitting next to niall like you could've sat in a better spot just saying lol,positive,positive,negative
"@user @user 1st uneasyness was when he got v defensive about the Charlie Hebdo stuff, even tho he had pals patiently explaining""",1,neutral,"1st uneasyness was when he got v defensive about the charlie hebdo stuff, even tho he had pals patiently explaining""",neutral,neutral,negative
Reminder: Samsung Unveils the Galaxy Note 5 and S6 Edge+ Tomorrow Morning! - - #tech #news...,2,positive,reminder: samsung unveils the galaxy note 5 and s6 edge+ tomorrow morning! - - ...,neutral,neutral,positive
"""Gonna do a movie marathon with my friend today and tomorrow. Twilight, New Moon, Eclipse, BD1, The Runaways, Adventureland, (c)""",1,neutral,"""gonna do a movie marathon with my friend today and tomorrow. twilight, new moon, eclipse, bd1, the runaways, adventureland, (c)""",positive,positive,positive
Oscars Well makes his debut over fences at Punchestown tomorrow. It looks as though he\u2019ll have Plan A and Darwins Fox to overcome.,1,neutral,oscars well makes his debut over fences at punchestown tomorrow. it looks as though he\u2019ll have plan a and darwins fox to overcome.,neutral,positive,positive
Q2 10:30. Philip Rivers pass to Eddie Royal to the San Diego 19 for 7 yards. 3rd & 1.,1,neutral,q2 10:30. philip rivers pass to eddie royal to the san diego 19 for 7 yards. 3rd & 1.,neutral,neutral,positive
"@user Work colleague of mine on Thursday night: """"oh, look, they're showing the Bee Gees on video."""" 23-yr old colleague: """"who?""""""",1,neutral,"work colleague of mine on thursday night: """"oh, look, they're showing the bee gees on video."""" 23-yr old colleague: """"who?""""""",neutral,neutral,negative
Who's going to get them Gucci foams tomorrow,1,neutral,who's going to get them gucci foams tomorrow,neutral,neutral,negative
Yes glass of red\u002c Rammstein and day off tomorrow (thank you @user just what I needed.,2,positive,yes glass of red\u002c rammstein and day off tomorrow (thank you just what i needed.,neutral,positive,positive
Vampettes we are back on the 21st place keep tweeting with the hashtag #MTVStars The Vamps #MTVStarsOf2015,2,positive,vampettes we are back on the 21st place keep tweeting with the hashtag the vamps,neutral,neutral,negative
Ryan Braun returned to the lineup on Wednesday after missing two games with lower back tightness.,1,neutral,ryan braun returned to the lineup on wednesday after missing two games with lower back tightness.,neutral,negative,positive
"""#Ichiro has nothing. If you want to see hustle: Kenny Lofton, 17 October 1995, scores from second base on a past ball. #GoTribe #ALDS""",1,neutral,""" has nothing. if you want to see hustle: kenny lofton, 17 october 1995, scores from second base on a past ball. """,negative,negative,negative
Looking forward to going to Carrow Rd tonight. Last time we were there\u002c Bale scored 2 and we were 3rd. Do not want extra time though,2,positive,looking forward to going to carrow rd tonight. last time we were there\u002c bale scored 2 and we were 3rd. do not want extra time though,neutral,negative,negative
Gonna go to the north game tomorrow night. I better see some of you north kiddos,1,neutral,gonna go to the north game tomorrow night. i better see some of you north kiddos,neutral,positive,positive
Right guys\u002c last competition of the night... Like this status for a chance to win a copy of Judas Priest\u2019s 30th...,2,positive,right guys\u002c last competition of the night... like this status for a chance to win a copy of judas priest\u2019s 30th...,positive,positive,positive
We\u2019re in the studio working on the new album and it sounds EPIC. We may as well pick up our Brit Award now\u002c tbh.,2,positive,we\u2019re in the studio working on the new album and it sounds epic. we may as well pick up our brit award now\u002c tbh.,positive,positive,positive
"""last day of august, waiting for frank ocean to pull a beyonce.",1,neutral,"""last day of august, waiting for frank ocean to pull a beyonce.",neutral,neutral,positive
#INFO --> Grand opening sharetea bubble tea with @user 2 nov 2012 mall taman anggrek 11:00 - 14:00 * Jadwal ke-1 besok !,1,neutral,--> grand opening sharetea bubble tea with 2 nov 2012 mall taman anggrek 11:00 - 14:00 * jadwal ke-1 besok !,positive,positive,positive
Sunday (tomorrow) is National Ice Cream Day and have we got a gift for you!   Join us for an ice cream sundae and...,2,positive,sunday (tomorrow) is national ice cream day and have we got a gift for you! join us for an ice cream sundae and...,neutral,positive,positive
Gucci pants himself store january lay open the span thine atomic irruptive concomitant so that cons comburent:...,1,neutral,gucci pants himself store january lay open the span thine atomic irruptive concomitant so that cons comburent:...,neutral,neutral,negative
still not over how Nicki snapped like a 12th grader on their last day of high school,1,neutral,still not over how nicki snapped like a 12th grader on their last day of high school,neutral,positive,negative
I may or may not buy myself the illustrated version of Harry potter for my birthday,2,positive,i may or may not buy myself the illustrated version of harry potter for my birthday,neutral,neutral,negative
I wanna see STUDIO FOOTAGE SO BAD. We are about to hear some unreleased STUFF! Likeeeeeeeeee I can\u2019t wait until Sunday.,2,positive,i wanna see studio footage so bad. we are about to hear some unreleased stuff! likeeeeeeeeee i can\u2019t wait until sunday.,negative,negative,negative
"@user how the hell does every one else get to keep their religious and 1st amnt rights, except Christians!!! This is just wrong!!!""",0,negative,"how the hell does every one else get to keep their religious and 1st amnt rights, except christians!!! this is just wrong!!!""",negative,negative,negative
A @user rule change should allow Carly Fiorina to earn a spot on the main stage for the 2nd Republican debate.,2,positive,a rule change should allow carly fiorina to earn a spot on the main stage for the 2nd republican debate.,neutral,positive,positive
"""TFI Friday doesn't look like it's coming back, as Chris Evans focuses on new-look Top Gear",1,neutral,"""tfi friday doesn't look like it's coming back, as chris evans focuses on new-look top gear",positive,negative,negative
#np The Way You Make Me Feel - 2012 Remaster by Michael Jackson from the album Bad 25th Anniversary.,1,neutral,the way you make me feel - 2012 remaster by michael jackson from the album bad 25th anniversary.,negative,negative,negative
"""I'm going to see Paper Towns. Saturday, 22 August 2015 at 17:40 in Leigh #Cineworld""",2,positive,"""i'm going to see paper towns. saturday, 22 august 2015 at 17:40 in leigh """,neutral,neutral,positive
@user Yepo I came in Milan it was my 1st concert and it was so good you guys did an amazing job! You are flawless live like PERFECT!,2,positive,yepo i came in milan it was my 1st concert and it was so good you guys did an amazing job! you are flawless live like perfect!,positive,positive,positive
#days #dool Tuesday Hope has to pick up Ciara. Rafe wants a real case not just publicity like Justin,1,neutral,tuesday hope has to pick up ciara. rafe wants a real case not just publicity like justin,positive,positive,positive
Seth Rollins talks &amp; talks every Monday on RAW for about 45 minutes,1,neutral,seth rollins talks &amp; talks every monday on raw for about 45 minutes,negative,neutral,negative
